epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.06164,1.91975,3.92039,1.51826,0.83991,0.91473,0.97446,0.6913,1.08276,5.49676,1.14599,0.00010584,0.00010584,0.00010584
2,12.2518,1.33556,0.96157,1.18511,0.99426,0.98213,0.99291,0.70334,1.06071,0.84585,1.07332,0.00020777,0.00020777,0.00020777
3,18.2749,1.23328,0.67681,1.11885,0.99697,0.99746,0.99479,0.71961,1.0405,0.54072,1.07911,0.000299645,0.000299645,0.000299645
4,24.1018,1.15412,0.60417,1.09638,0.99621,0.99746,0.99421,0.69477,1.09752,0.51714,1.08943,0.000381465,0.000381465,0.000381465
5,29.5439,1.12931,0.58749,1.07851,0.99307,0.99746,0.99471,0.72932,1.01461,0.50779,1.02918,0.00045323,0.00045323,0.00045323
6,35.3453,1.09601,0.56663,1.05737,0.9932,0.99746,0.99471,0.74372,0.96757,0.48806,1.02116,0.0004557,0.0004557,0.0004557
7,41.0392,1.06917,0.53697,1.04145,0.99588,0.99746,0.99442,0.74115,0.96758,0.45938,1.00526,0.00042924,0.00042924,0.00042924
8,46.892,1.06084,0.51239,1.03631,0.99618,0.99746,0.99321,0.76524,0.89474,0.42782,0.99236,0.00040278,0.00040278,0.00040278
9,53.1521,1.00479,0.49391,1.02485,0.9914,0.99746,0.99245,0.75263,0.91382,0.42983,1.0011,0.00037632,0.00037632,0.00037632
10,58.9512,1.00908,0.486,1.02655,0.99674,0.99746,0.99432,0.78413,0.84302,0.39989,0.98529,0.00034986,0.00034986,0.00034986
11,64.1461,0.99329,0.45951,1.04151,0.99665,0.99746,0.99416,0.74676,0.97191,0.42416,1.01153,0.0003234,0.0003234,0.0003234
12,67.2876,0.94506,0.43752,1.01273,0.99506,0.99746,0.99474,0.67959,1.16288,0.45376,1.05993,0.00029694,0.00029694,0.00029694
13,70.3034,0.97157,0.43297,1.02349,0.99612,0.99746,0.99468,0.74927,0.97504,0.40498,1.0007,0.00027048,0.00027048,0.00027048
14,73.5417,0.93741,0.42348,1.00207,0.99666,0.99746,0.99379,0.77927,0.86349,0.37608,0.95583,0.00024402,0.00024402,0.00024402
15,76.5951,0.90636,0.41198,0.99386,0.99631,0.99746,0.99274,0.7861,0.84113,0.36974,0.96006,0.00021756,0.00021756,0.00021756
16,80.1078,0.89734,0.39961,0.99417,0.9966,0.99746,0.99437,0.79916,0.82438,0.35509,0.95411,0.0001911,0.0001911,0.0001911
17,83.5405,0.88811,0.39272,0.98685,0.99464,0.99746,0.99366,0.77159,0.91705,0.37557,0.98286,0.00016464,0.00016464,0.00016464
18,86.817,0.88794,0.38917,0.9839,0.99556,0.99746,0.99437,0.79202,0.85116,0.3573,0.96175,0.00013818,0.00013818,0.00013818
19,89.9816,0.87027,0.37706,0.98793,0.9966,0.99746,0.99384,0.79373,0.81912,0.34187,0.9605,0.00011172,0.00011172,0.00011172
20,93.3582,0.84822,0.36833,0.9694,0.99513,0.9964,0.99379,0.80361,0.80305,0.34202,0.94783,8.526e-05,8.526e-05,8.526e-05
